22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | main | 45] Logger initialized
22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 0
22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 0
22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 1
22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 1
22:26:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 2
22:26:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 3
22:26:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 2
22:26:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 4
22:26:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 3
22:26:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 5
22:26:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 6
22:26:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 4
22:26:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 7
22:26:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 5
22:26:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 8
22:26:58: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 9
22:26:58: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 6
22:26:58: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 75] Drone: Sent attitude 10
22:26:58: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/telemetry_drone.py | send_telemetry | 95] Drone: Sent position 7
