08:59:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 54] Logger initialized
08:59:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.0]
08:59:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 3.965744277199994]
08:59:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 1.1915531989894967]
08:59:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.5302571209814234]
08:59:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.4973669565708216]
08:59:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.3975526785468863]
08:59:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.3313829193414443]
08:59:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.2842077395799573]
08:59:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.4848337782091727, 0.0, 0.24848337782091726]
08:59:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [4.414795672087609, 0.0, 0.22073978360438046]
08:59:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [5.96201248018137, 0.0, 0.198733749339379]
08:59:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [5.421302987381584, 1.8071009957938615, 0.18071009957938616]
08:59:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [4.970841188513014, 3.3138941256753425, 0.16569470628376715]
08:59:54: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [4.589722349583683, 4.589722349583683, 0.15299074498612278]
08:59:54: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.8416578252391926, 4.262486737858789, 0.14208289126195964]
08:59:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [1.3254925733078733, 3.97647771992362, 0.13254925733078735]
08:59:55: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 3.7276170332700813, 0.12425390110900271]
08:59:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 2.3390835912770553, 0.11695417956385276]
08:59:56: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 1.1043311101833249, 0.11043311101833249]
08:59:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.0, 0.10463827033750232]
08:59:57: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 0.9941631634870763, 0.09941631634870762]
08:59:58: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 1.8931435819377131, 0.09465717909688566]
08:59:59: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.0, 2.7099362425053037, 0.09033120808351013]
08:59:59: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.8640126933505425, 2.5920380800516276, 0.08640126933505425]
09:00:00: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [1.6560517978931724, 2.4840776968397584, 0.08280258989465862]
09:00:00: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.384899777216999, 2.384899777216999, 0.07949665924056663]
09:00:01: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.29286541228698, 1.5285769415246533, 0.07642884707623267]
09:00:01: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.207941732250581, 0.7359805774168603, 0.07359805774168603]
09:00:02: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [2.1289411361508916, 0.0, 0.07096470453836305]
09:00:02: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [1.3704437681087065, 0.0, 0.06852218840543532]
09:00:03: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 92] Average velocity: [0.6622934570670173, 0.0, 0.06622934570670172]
