21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 54] Logger initialized
21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -32554.361999379074]
21:05:39: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -61.31161721282332]
21:05:39: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -28.733097502754966]
21:05:40: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -19.135311960252736]
21:05:40: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -14.346125525928095]
21:05:41: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -11.47896237610681]
21:05:41: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 0.0, -9.572770995376873]
21:05:42: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 5.657907303378365, -8.20396558989863]
21:05:42: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 4.9503677216928885, -7.178033196454689]
21:05:43: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 4.400438123455133, -6.380635279009942]
21:05:43: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [3.960426741405097, 0.0, -5.742618775037391]
21:05:44: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [3.6006505253207868, 0.0, -5.220943261715141]
21:05:44: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [3.3001808791354654, 0.0, -4.785262274746425]
21:05:45: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -3.046976113554908, -4.418115364654617]
21:05:45: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -2.8298763081494394, -4.103320646816687]
21:05:46: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -2.6408110920885894, -3.8291760835284547]
21:05:46: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-2.476374522196647, 0.0, -3.590743057185138]
21:05:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-2.3315570072593497, 0.0, -3.380757660526057]
21:05:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-2.2027409953666752, 0.0, -3.1939744432816792]
21:05:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 2.086603696662447, -3.0255753601605484]
21:05:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 1.9821558413547171, -2.8741259699643398]
21:05:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, 1.8880244948246265, -2.7376355174957085]
21:05:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [1.8020714887174505, 0.0, -2.613003658640303]
21:05:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [1.7241099860517115, 0.0, -2.4999594797749816]
21:05:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [1.6520915148246347, 0.0, -2.3955326964957204]
21:05:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -1.5858474020615014, -2.299478732989177]
21:05:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -1.5248880484636393, -2.2110876702722773]
21:05:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [0.0, -1.4683012569169078, -2.129036822529516]
21:05:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-1.4158580575886035, 0.0, -2.052994183503475]
21:05:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-1.36709876872572, 0.0, -1.982293214652294]
21:05:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity: [-1.3214381851195043, 0.0, -1.9160853684232813]
