21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 132] Connected!
21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGE_ALTITUDE: 1
21:05:38: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 63.434948822922024
21:05:39: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGE_ALTITUDE: -1
21:05:39: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 63.434948822922024
21:05:42: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 63.434948822922024
21:05:42: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 90.0
21:05:43: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -63.434948822922024
21:05:43: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -135.0
21:05:44: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -116.56505117707798
21:05:44: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -90.0
21:05:45: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 26.565051177077994
21:05:45: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 45.0
21:05:46: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 90.0
21:05:46: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -135.0
21:05:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 90.0
21:05:47: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 135.0
21:05:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -26.565051177077976
21:05:48: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -45.0
21:05:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -90.0
21:05:49: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 135.0
21:05:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -90.0
21:05:50: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -135.0
21:05:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -63.434948822922024
21:05:51: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 90.0
21:05:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 63.43494882292201
21:05:52: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 135.0
21:05:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: 116.56505117707798
21:05:53: [INFO] [/Users/derekgou/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 76] CHANGING_YAW: -90.0
